Experiment,B_Ramp_Angle,B_Diffusor_Angle,B_Trunklid_Angle,C_Side_Mirrors_Rotation,D_Rear_Window_Inclination,D_Winscreen_Inclination,C_Side_Mirrors_Translate_X,C_Side_Mirrors_Translate_Z,D_Winscreen_Length,D_Rear_Window_Length,E_A_B_C_Pillar_Thickness,G_Trunklid_Curvature,G_Trunklid_Length,H_Front_Bumper_Curvature,H_Front_Bumper_Length,F_Door_Handles_Thickness,F_Door_Handles_Z_Position,E_Fenders_Arch_Offset,A_Car_Length,F_Door_Handles_X_Position,A_Car_Width,A_Car_Roof_Height,A_Car_Green_House_Angle,Average Cd,Std Cd,Average Cl,Std Cl,Average Cl_f,Std Cl_f,Average Cl_r,Std Cl_r
E_S_WWC_WM_005,12.9715,10.6198,-6.48716,6.18597,2.25,-0.01,9.68012,5.09923,-12.3244,63.8911,-14.6804,-0.1,11.6543,-0.1,40.39,12.1007,10.4434,39.8728,81.2466,8.66135,130.822,-36.2487,88.6815,0.2962596,0.005957507,-0.118159282,0.038558888,-0.075820031,0.010983001,-0.042339251,0.035461086
E_S_WWC_WM_006,9.34228,-3.16809,3.62362,-0.40938,-0.32,-1.08,18.4869,-4.89229,-21.1429,-51.4419,4.65238,0.4,9.2175,0.5,21.1696,-11.0906,-6.39725,7.58401,-37.6371,-45.9744,127.369,70.7942,-17.8464,0.223488059,0.009729436,-0.072001422,0.024405529,-0.100237357,0.010379465,0.028235934,0.020956704
E_S_WWC_WM_007,-0.324772,5.57163,10.0661,19.1134,-1.11,1.97,8.57573,4.18703,11.4337,128.574,-3.17983,0,-18.0778,0.1,36.0917,22.9391,-4.14031,23.1288,125.336,5.53025,128.399,-56.5256,-23.5455,0.277824338,0.008817754,-0.104979824,0.037993321,-0.093726493,0.008862649,-0.01125333,0.040342846
E_S_WWC_WM_008,11.2471,-7.30354,18.5968,1.43838,-1.25,0.54,-3.48386,2.24477,7.1409,31.4745,-7.33866,0.6,-8.49659,0.7,6.74988,9.57108,-4.24254,-16.4713,25.4095,-40.3024,107.968,-52.5836,57.4909,0.238931383,0.00623571,-0.003551566,0.023614727,-0.066749911,0.011265292,0.063198345,0.0180862
E_S_WWC_WM_009,-1.63974,-7.91724,16.4215,-13.942,0.29,1.26,-7.90374,5.13453,24.627,-28.3226,-3.71092,-0.2,17.2261,0,-7.32919,18.7647,-12.1105,43.2354,42.3561,-43.6618,89.0359,26.8087,117.017,0.258389442,0.004500068,-0.063953429,0.016148134,-0.15084021,0.005389054,0.086886781,0.017492438
E_S_WWC_WM_010,7.5353,-4.33703,8.61681,-19.4537,-0.44,-0.39,-9.27498,8.43238,27.9209,17.598,-14.9975,-0.2,3.34073,-0.2,31.5132,1.31296,-17.6415,27.7268,24.6156,37.1007,18.3839,69.6224,2.59549,0.27112899,0.006332308,-0.126406113,0.028346701,-0.105251902,0.010699136,-0.021154211,0.02690848
E_S_WWC_WM_011,1.45564,1.22362,12.0954,7.09802,-0.7,2.3,0.596081,-0.450606,-33.1165,29.2328,1.26841,-0.2,12.2478,0,-0.695343,24.2013,-22.1975,38.4497,-38.8848,-47.553,-45.1738,11.9651,-175.733,0.273703507,0.010955671,-0.214247754,0.036481835,-0.143284296,0.006982507,-0.070963458,0.039369965
E_S_WWC_WM_012,7.94051,-5.21013,3.19505,-4.76296,-1.1,-0.29,3.72183,-4.85159,26.9704,109.582,0.993291,0.7,-10.5897,0.9,26.1141,-2.12336,-21.7019,0.783284,4.89163,-36.421,-1.21948,43.4288,-198.922,0.243074129,0.006996988,-0.10054834,0.017983167,-0.075820332,0.01088027,-0.024728007,0.015647714
E_S_WWC_WM_013,0.352927,4.68227,19.1044,-16.4886,-1.64,0.23,-8.74561,2.76618,-2.75982,-76.9116,-14.4971,0.2,2.74215,0.8,46.7225,1.81866,0.981035,24.6691,72.3818,-7.29189,137.84,-9.11047,-37.9416,0.269303557,0.004688093,-0.060166194,0.026626816,-0.113094685,0.017369072,0.052928491,0.016452194
E_S_WWC_WM_014,6.103,-6.27523,13.1765,0.899354,2.19,-0.72,-6.95945,7.79617,-44.7464,-65.8647,-11.4571,-0.2,15.3916,0.3,33.7089,-1.57356,5.29959,24.7258,-32.4726,8.87441,129.119,-38.9676,-70.2568,0.257620528,0.004683873,-0.107296999,0.023640492,-0.120612816,0.014794827,0.013315817,0.013428246
E_S_WWC_WM_015,13.725,13.8181,18.0805,-8.53467,-1.39,1.47,18.6772,-2.96069,44.9859,76.8757,-6.19086,0.2,-18.6255,-0.3,11.8111,5.39458,-15.1906,-4.49989,74.1891,21.0976,122.545,36.772,-0.491471,0.276753205,0.013970293,-0.164706392,0.027658201,-0.082542872,0.007859282,-0.08216352,0.029912289
E_S_WWC_WM_016,0.223555,13.7781,-5.46415,14.5567,-1.16,0.16,6.27646,-4.20453,-21.1336,51.713,-9.19082,-0.2,-5.64184,-0.2,7.79045,25.3704,24.9272,-8.79346,-8.57969,7.06585,-14.8453,-16.5856,-88.3032,0.291535427,0.014049762,-0.196062131,0.037183471,-0.106714411,0.010006142,-0.08934772,0.038443561
E_S_WWC_WM_017,5.2301,0.303838,10.7587,8.29903,-0.92,-1.19,1.34318,-2.29422,-36.9208,-43.1497,4.50102,0.6,23.8279,0.5,16.7638,5.64683,6.37938,-1.60506,116.222,45.9524,147.656,1.03778,-158.546,0.231196019,0.004839886,-0.086316705,0.022005627,-0.106635052,0.010263543,0.020318347,0.015146052
E_S_WWC_WM_018,-3.30674,14.4599,6.37581,-14.8876,0.9,-0.04,-3.08273,-0.640042,-38.1293,-31.1449,-9.76115,0,4.56399,-0.3,18.493,22.6033,-29.6222,30.0554,31.3474,-33.4415,-1.58575,-54.8688,-103.728,0.293705761,0.006531357,-0.144020518,0.027970793,-0.135450178,0.010077508,-0.008570341,0.026928321
E_S_WWC_WM_019,-7.86397,1.10941,2.33321,2.76096,0.28,0.7,0.409288,-0.474428,17.7035,-83.6888,-2.67495,0,9.58987,-0.3,47.4944,-0.567055,-0.660401,26.1387,109.125,0.769931,-55.9908,-29.1427,94.766,0.263832552,0.006894049,-0.19215205,0.032070896,-0.184992215,0.005910955,-0.007159835,0.034722121
E_S_WWC_WM_020,5.87987,-1.956,4.31193,-2.00787,0.03,1.31,12.3594,5.71535,-48.9644,55.8636,-2.763,0.7,-24.3493,1,24.6246,26.8822,-11.3817,50.6538,-21.3935,37.6009,-2.42089,-18.9778,-153.417,0.271310294,0.006135387,-0.111193424,0.025985589,-0.059583336,0.010696889,-0.051610088,0.028979791
E_S_WWC_WM_021,-7.62291,5.48396,-5.63015,-15.2921,-0.01,-0.5,9.84571,3.54719,-31.7686,-21.7386,-1.46429,-0.3,-3.6687,0.3,-12.4483,-1.37854,-1.08802,14.0502,-13.2919,49.411,36.7026,-52.1665,87.1995,0.283946232,0.007204953,-0.230911708,0.023098748,-0.214931119,0.009352216,-0.015980589,0.017942073
E_S_WWC_WM_022,-0.0121556,-4.68785,16.284,-18.8349,1.45,-0.53,13.7383,3.64302,25.2465,-82.5548,2.45827,0.5,-6.6515,-0.1,32.3662,-17.7849,-28.4745,0.994433,5.32761,-8.09683,96.1223,-55.1658,-70.6681,0.251105462,0.006280408,-0.036609837,0.013072802,-0.12653219,0.008447558,0.089922353,0.014998779
E_S_WWC_WM_023,-2.25394,3.95079,-2.5473,-15.1478,-0.81,-1.45,-0.376644,8.06763,-14.0135,126.624,-7.482,-0.3,18.8171,1,36.6968,-18.8859,-7.88261,-11.2833,-22.3522,7.56822,77.0161,3.44595,24.6809,0.28363591,0.004456939,-0.27659521,0.018664643,-0.159122579,0.010362894,-0.117472632,0.016893296
E_S_WWC_WM_024,12.275,3.03627,0.166011,-1.80484,-1.65,-0.94,7.29332,8.50611,10.6522,81.4043,4.53588,-0.4,-18.4,0.6,21.9543,0.336808,14.1323,51.9544,53.6096,-36.2265,-9.03726,53.6408,-117.961,0.273011956,0.006313478,-0.104947879,0.044798924,-0.039734277,0.011597034,-0.065213602,0.038440397
E_S_WWC_WM_025,-4.39241,10.7379,15.7931,13.4324,-0.73,1.29,11.4561,-1.05309,7.96589,-4.42535,1.13868,-0.3,-14.9419,0.5,24.7564,-8.51155,-26.1628,51.7605,31.6866,-34.8844,148.312,64.0531,-46.0773,0.282493975,0.006194843,-0.045590277,0.028239618,-0.165551984,0.009550031,0.119961707,0.024438894
E_S_WWC_WM_026,-0.548153,13.3011,6.23093,1.38921,1.28,1.8,19.3819,-1.926,-29.1622,-81.4516,1.98087,0.3,-9.94397,0.6,-4.79101,-1.93688,15.9841,-22.4271,76.799,-18.7457,3.51334,63.7636,-10.4763,0.234006028,0.007433291,-0.129079275,0.041002806,-0.119621474,0.00628481,-0.009457802,0.041534398
E_S_WWC_WM_027,-5.09464,4.50221,15.8236,-7.43203,1.43,1.05,7.91727,5.67173,21.7038,129.07,-10.0355,0.1,-7.75284,-0.4,0.147791,25.9192,-0.932244,38.3834,97.8507,-42.1468,45.4243,-14.8737,-174.869,0.291736273,0.00496777,-0.222576111,0.014474077,-0.165577155,0.006711914,-0.056998956,0.012593119
E_S_WWC_WM_028,-5.56375,5.34724,13.4826,19.3909,-1.62,-0.17,7.06062,4.91627,-5.71133,-73.1301,-8.20529,-0.2,2.88077,0.3,41.0484,22.2204,28.6893,2.19385,54.47,35.7001,102.422,31.9074,-141.711,0.255497573,0.00629837,-0.243294925,0.028997781,-0.213515426,0.009190343,-0.029779499,0.025394249
